Apartment Name,Apartment Type,Available Room,Price,,,Lower Bound,Upper Bound,Price Mean in $,Area,Area in sqft Cleaned,#Beds,#Beds Cleaned,#Baths,#Baths Cleaned,Availability,Ratings,Ratings in starts
St. Clair Lofts,Carillon,NA,$775 ,775,775,775,775,775,492+ sqft,492,1 Bed,1,1 Bath,1 ,Contact,90%,4.5
St. Clair Lofts,Patterson,NA,$799–$840,799–840,799–840,799,840,819.5,604+ sqft,604,1 Bed,1,1 Bath,1 ,Contact,90%,4.5
St. Clair Lofts,Small Merchant,NA,$839 ,839,839,839,839,839,667+ sqft,667,1 Bed,1,1 Bath,1 ,Contact,90%,4.5
St. Clair Lofts,Large Merchant,NA,$910 ,910,910,910,910,910,755+ sqft,755,1 Bed,1,1 Bath,1 ,Contact,90%,4.5
St. Clair Lofts,Delco,NA,$905–$945,905–945,905–945,905,945,925,875+ sqft,875,2 Beds,2,2 Bath,2 ,Contact,90%,4.5
St. Clair Lofts,Buckeye,NA,$975–$990,975–990,975–990,975,990,982.5,995+ sqft,995,2 Beds,2,2 Bath,2 ,Contact,90%,4.5
St. Clair Lofts,Kettering,NA,"$975–$1,050","975–1,050","975–1,050",975,"1,050",1012.5,1002+ sqft,1002,2 Beds,2,2 Bath,2 ,Contact,90%,4.5
St. Clair Lofts,St. Clair,NA,"$1,195–$1,210","1,195–1,210","1,195–1,210","1,195","1,210",1202.5,1225+ sqft,1225,2 Beds,2,2 Bath,2 ,Contact,90%,4.5
The Promenade At Beavercreek,The Lilac,NA,$915–$965,915–965,915–965,915,965,940,763+ sqft,763,1 Bed,1,1 Bath,1 ,Contact,80%,4
The Promenade At Beavercreek,The Tulip,NA,$940–$965,940–965,940–965,940,965,952.5,802+ sqft,802,1 Bed,1,1 Bath,1 ,Contact,80%,4
The Promenade At Beavercreek,The Tulip II,NA,"$1,090–$1,115","1,090–1,115","1,090–1,115","1,090","1,115",1102.5,872+ sqft,872,1 Bed,1,1 Bath,1 ,Contact,80%,4
The Promenade At Beavercreek,The Aspen,NA,"$1,025–$1,075","1,025–1,075","1,025–1,075","1,025","1,075",1050,1008+ sqft,1008,1 Bed,1,1 Bath,1 ,Contact,80%,4
The Promenade At Beavercreek,The Tulip III,NA,"$1,050–$1,075","1,050–1,075","1,050–1,075","1,050","1,075",1062.5,1050+ sqft,1050,1 Bed,1,1 Bath,1 ,Contact,80%,4
The Promenade At Beavercreek,The Tulip III,NA,"$1,050–$1,075","1,050–1,075","1,050–1,075","1,050","1,075",1062.5,1102+ sqft,1102,1 Bed,1,1 Bath,1 ,Contact,80%,4
The Promenade At Beavercreek,The Cypress,NA,"$1,115–$1,165","1,115–1,165","1,115–1,165","1,115","1,165",1140,1050+ sqft,1050,2 Beds,2,2 Bath,2 ,Contact,80%,4
The Promenade At Beavercreek,The Sycamore,NA,"$1,140–$1,165","1,140–1,165","1,140–1,165","1,140","1,165",1152.5,1102+ sqft,1102,2 Beds,2,2 Bath,2 ,Contact,80%,4
The Promenade At Beavercreek,The Sycamore II,NA,"$1,315–$1,340","1,315–1,340","1,315–1,340","1,315","1,340",1327.5,1149+ sqft,1149,2 Beds,2,2 Bath,2 ,Contact,80%,4
The Promenade At Beavercreek,The Sycamore III,NA,"$1,275–$1,300","1,275–1,300","1,275–1,300","1,275","1,300",1287.5,1299+ sqft,1299,2 Beds,2,2 Bath,2 ,Contact,80%,4
The Promenade At Beavercreek,The Poplar,NA,"$1,250–$1,300","1,250–1,300","1,250–1,300","1,250","1,300",1275,1308+ sqft,1308,2 Beds,2,2 Bath,2 ,Contact,80%,4
The Promenade At Beavercreek,The Sycamore III,NA,"$1,275–$1,300","1,275–1,300","1,275–1,300","1,275","1,300",1287.5,1350+ sqft,1350,2 Beds,2,2 Bath,2 ,Contact,80%,4
Mallard Landing,Bluewing,23162,"$1,065 ",1065,1065,1065,1065,1065,1000 sqft,1000,2 Beds,2,2 Bath,2 ,May 24,90%,4.5
Mallard Landing,Bluewing,22701,"$1,065 ",1065,1065,1065,1065,1065,1000 sqft,1000,2 Beds,2,2 Bath,2 ,Jun 07,90%,4.5
Mallard Landing,Mandarin,NA,Please Call,Please Call,Please Call,Please Call,Please Call,NA,1400+ sqft,1400,3 Beds,3,2.5 Bath,2.5 ,Contact,90%,4.5
Villas Of Kettering,Duplex,NA,$640 ,640,640,640,640,640,750+ sqft,750,2 Beds,2,1 Bath,1 ,Contact,80%,4
Villas Of Kettering,Upper,NA,$550–$575,550–575,550–575,550,575,562.5,800+ sqft,800,2 Beds,2,1 Bath,1 ,Contact,80%,4
Villas Of Kettering,Lower,NA,$610–$625,610–625,610–625,610,625,617.5,800+ sqft,800,2 Beds,2,1 Bath,1 ,Contact,80%,4
Villas Of Kettering,Houses,NA,$795–$840,795–840,795–840,795,840,817.5,1100+ sqft,1100,3 Beds,3,1 Bath,1 ,Contact,80%,4
Stillwater Landing,Ranch-style apartment,NA,$389–$449,389–449,389–449,389,449,419,288+ sqft,288,Studio,Studio,1 Bath,1 ,1 Available,20%,1
Stillwater Landing,Ranch-style apartment,NA,$429–$714,429–714,429–714,429,714,571.5,576+ sqft,576,1 Bed,1,1 Bath,1 ,1 Available,20%,1
Stillwater Landing,Ranch-style apartment,NA,$750–$825,750–825,750–825,750,825,787.5,864+ sqft,864,2 Beds,2,2 Bath,2 ,1 Available,20%,1
Stillwater Landing,Ranch-style apartment,NA,$724–$856,724–856,724–856,724,856,790,864+ sqft,864,2 Beds,2,1 Bath,1 ,Contact,20%,1
Chatham Village,The Farmington,NA,$675–$775,675–775,675–775,675,775,725,822+ sqft,822,2 Beds,2,1 Bath,1 ,1 Available,80%,4
Chatham Village,The Dover,NA,$875–$990,875–990,875–990,875,990,932.5,1151+ sqft,1151,2 Beds,2,1.5 Bath,1.5 ,1 Available,80%,4
Chatham Village,Dover Deluxe,NA,"$895–$1,050","895–1,050","895–1,050",895,"1,050",972.5,1151+ sqft,1151,2 Beds,2,2.5 Bath,2.5 ,4 Available,80%,4
Chatham Village,Breckenridge,NA,$610–$630,610–630,610–630,610,630,620,650+ sqft,650,1 Bed,1,1 Bath,1 ,Contact,80%,4
Chatham Village,Adams,NA,$770–$790,770–790,770–790,770,790,780,990+ sqft,990,2 Beds,2,2 Bath,2 ,Contact,80%,4
Chatham Village,The Concord,NA,"$990–$1,150","990–1,150","990–1,150",990,"1,150",1070,1257+ sqft,1257,3 Beds,3,2 Bath,2 ,Contact,80%,4
Chatham Village,Easton,NA,"$995–$1,270","995–1,270","995–1,270",995,"1,270",1132.5,1305+ sqft,1305,3 Beds,3,2.5 Bath,2.5 ,Contact,80%,4
